Driver,Team,best_FP1_lap,best_FP1_lap_seconds,best_FP1_theoretical_lap,best_FP1_theoretical_seconds,best_FP2_lap,best_FP2_lap_seconds,best_FP2_theoretical_lap,best_FP2_theoretical_seconds,best_FP3_lap,best_FP3_lap_seconds,best_FP3_theoretical_lap,best_FP3_theoretical_seconds,prediction_score,weight_total,predicted_quali_position
RUS,Mercedes,1:45.387,105.387,1:45.387,105.387,1:43.347,103.347,1:43.347,103.347,1:44.021,104.021,1:43.849,103.84899999999999,104.0574,1.0,1
VER,Red Bull Racing,1:45.787,105.787,1:45.598,105.598,1:44.174,104.174,1:44.174,104.17399999999999,1:43.922,103.922,1:43.721,103.721,104.26474999999999,1.0,2
HAM,Ferrari,1:45.824,105.824,1:45.788,105.788,1:44.665,104.665,1:44.528,104.52799999999999,1:44.033,104.033,1:44.033,104.033,104.45965,1.0,3
ANT,Mercedes,1:46.265,106.265,1:46.265,106.26499999999999,1:43.899,103.899,1:43.899,103.899,1:44.273,104.273,1:44.117,104.11699999999999,104.47829999999999,1.0,4
LEC,Ferrari,1:45.791,105.791,1:45.508,105.50800000000001,1:44.473,104.473,1:44.473,104.47299999999998,1:44.544,104.544,1:44.516,104.51599999999999,104.7133,1.0,5
PIA,McLaren,1:46.398,106.398,1:46.255,106.25500000000001,1:44.857,104.857,1:44.566,104.566,1:44.746,104.746,1:44.511,104.511,105.02154999999999,1.0,6
GAS,Alpine,1:47.043,107.043,1:46.995,106.995,1:44.843,104.843,1:44.843,104.843,1:44.637,104.637,1:44.607,104.607,105.04939999999999,1.0,7
NOR,McLaren,1:46.981,106.981,1:46.981,106.98100000000001,1:44.831,104.831,1:44.831,104.83100000000002,1:44.899,104.899,1:44.586,104.58600000000001,105.1943,1.0,8
HAD,Red Bull Racing,1:47.873,107.873,1:47.873,107.87299999999999,1:44.868,104.868,1:44.868,104.868,1:45.176,105.176,1:45.008,105.008,105.50354999999999,1.0,9
COL,Alpine,1:47.523,107.523,1:47.523,107.523,1:45.479,105.479,1:45.417,105.417,1:45.592,105.592,1:45.533,105.533,105.8534,1.0,10
OCO,Haas F1 Team,1:46.624,106.624,1:46.624,106.62400000000001,1:45.290,105.29,1:45.290,105.28999999999999,1:45.918,105.918,1:45.777,105.777,105.8669,1.0,11
SAI,Williams,1:46.893,106.893,1:46.809,106.809,1:46.221,106.221,1:46.207,106.20700000000001,1:45.605,105.605,1:45.602,105.60199999999999,105.9522,1.0,12
BOR,Audi,1:46.688,106.688,1:46.688,106.68800000000002,1:45.794,105.794,1:45.618,105.618,1:45.854,105.854,1:45.815,105.815,105.9641,1.0,13
HUL,Audi,1:46.871,106.871,1:46.735,106.73500000000001,1:45.854,105.854,1:45.691,105.691,1:45.998,105.998,1:45.779,105.779,106.09295,1.0,14
LAW,Racing Bulls,1:46.440,106.44,1:46.076,106.076,1:45.681,105.681,1:45.451,105.451,1:46.222,106.222,1:46.160,106.16,106.11945,1.0,15
PER,Cadillac,1:47.253,107.253,1:47.253,107.25299999999999,1:45.760,105.76,1:45.760,105.76,1:46.004,106.004,1:45.745,105.745,106.13035,1.0,16
BEA,Haas F1 Team,1:46.994,106.994,1:46.994,106.994,1:46.801,106.801,1:46.695,106.695,1:45.692,105.692,1:45.431,105.43100000000001,106.16454999999999,1.0,17
ALB,Williams,1:46.939,106.939,1:46.939,106.93900000000001,1:46.123,106.123,1:46.123,106.12299999999999,1:46.076,106.076,1:45.591,105.591,106.21719999999999,1.0,18
LIN,Racing Bulls,1:46.601,106.601,1:46.486,106.48599999999999,1:46.391,106.391,1:46.391,106.39099999999999,1:46.271,106.271,1:46.271,106.271,106.35050000000001,1.0,19
ALO,Aston Martin,1:47.835,107.835,1:47.694,107.69399999999999,1:47.889,107.889,1:46.940,106.94,1:46.512,106.512,1:46.443,106.44300000000001,107.0547,1.0,20
BOT,Cadillac,1:49.315,109.315,1:49.315,109.315,1:46.737,106.737,1:46.737,106.737,1:48.587,108.587,1:48.245,108.24499999999999,108.2337,1.0,21
STR,Aston Martin,1:48.547,108.547,1:48.547,108.547,1:47.403,107.403,1:47.403,107.40299999999999,1:49.279,109.279,1:49.279,109.279,108.7002,1.0,22
